tiempo,du,dl,dy
1977,1.925,-1.5784270346,
1978,1.445,-1.31216366791,
1979,1.3275,-0.388954420466,
1980,3.565,-3.95287804844,
1981,2.385,-1.87704813047,-1.4569965882
1982,0.7425,0.383195014292,3.24926717988
1983,1.875,-0.0432369494201,2.07318736032
1984,6.4925,-7.48193458044,0.926750054325
1985,0.7725,1.64260011038,4.40194125804
1986,0.4075,2.04797938161,3.67464900052
1987,0.405,6.15813731659,6.61669858481
1988,-1.8125,7.10206691976,5.61194071588
1989,-1.68,3.61802799081,3.06950959047
1990,-1.4725,3.55708275871,6.0016914823
1991,0.2125,0.552062796239,2.57941973848
1992,2.4425,-2.34754433056,0.596283903196
1993,4.7925,-5.79360366058,-2.0035980364
1994,1.6175,0.0376964532817,2.17326546833
1995,-0.68,2.82967465144,2.78999587508
1996,-1.325,4.64122954143,1.9
1997,-0.785,3.12990495418,4.0
1998,-2.4225,5.10350786189,3.2
1999,-2.73,6.24775670728,3.8
2000,-2.3475,5.65108244914,5.9
2001,-5.5425,5.58755107368,3.2
2002,0.89,5.53829184303,3.0
2003,-1.0825,4.33870928888,3.7
2004,-1.595,4.93302749558,3.1
2005,-3.1225,7.5057010776,3.3
2006,-1.16,4.65730140498,4.0
2007,0.07,3.1953716021,3.8
2008,5.045,-2.40081945049,0.7
2009,7.5525,-7.20756813695,-3.8
2010,2.6175,-1.98055851219,-1.2
2011,2.415,-2.64420745083,-0.7
2012,4.205,-5.09747539098,-2.8
2013,1.745,-3.13998925069,-1.1
2014,,2.43842756168,1.3
2015,,4.73807635147,
