tiempo,du,dl,dy
1977,-0.005,0.475004137023,
1978,0.2225,-0.44016473412,
1979,0.4725,1.73245308597,
1980,3.18,-2.73691294596,
1981,1.9625,-3.97199771966,3.64068235802
1982,1.7725,-0.662933401826,3.19393282774
1983,2.1825,2.68642655576,5.32003902363
1984,0.12,1.00807699135,5.65187585596
1985,-0.2525,-1.69676248104,4.91521290401
1986,0.3975,-0.525844541397,4.46688610236
1987,-0.24,4.95858714987,7.00445534589
1988,-3.035,9.15366480132,4.2026895728
1989,-0.155,4.88069771302,2.16299041442
1990,-0.22,-2.95283465669,8.13684455296
1991,-0.4475,3.18101952832,3.19293397915
1992,1.4525,-5.50091764989,2.30781573316
1993,6.2875,-2.85380629879,0.276292044663
1994,-0.035,5.30480687139,2.57696936459
1995,-3.49,7.07933453491,3.50003316769
1996,-1.0025,6.59177848801,2.6
1997,-1.6875,3.0633506505,5.0
1998,-0.505,2.53533992985,2.8
1999,-3.0575,6.54110710709,5.2
2000,-1.7075,8.09312922949,4.2
2001,-0.45,3.13390374004,2.0
2002,1.435,11.9362257881,0.4
2003,1.975,4.18098228637,1.0
2004,-0.3025,4.41828119773,1.6
2005,-1.725,5.3279346765,3.2
2006,-0.7725,6.53234178694,3.0
2007,0.5175,3.05917727607,3.5
2008,3.18,0.800285046979,1.3
2009,7.86,-5.7268819854,-4.1
2010,2.3575,-1.2255812336,-0.4
2011,1.5375,-2.86515112163,0.3
2012,1.3,1.47816378857,-0.5
2013,-0.8825,0.800881442645,-0.5
2014,,1.41210254025,1.9
2015,,6.85973029948,
