tiempo,du,dl,dy
1977,1.52,-3.2370287865,
1978,1.04,-1.39324374181,
1979,1.45,-1.29019617796,
1980,1.725,-1.22537443608,
1981,1.9225,-1.99619035017,-5.48089567346
1982,1.785,-1.95517759777,3.83940130167
1983,1.4,-0.731992937069,4.08374073229
1984,2.43,-2.80471386514,2.34631750049
1985,2.1775,-2.88342276309,5.35857428774
1986,-0.1225,0.660727783297,0.856598003677
1987,-0.9375,4.0601348047,5.56018992591
1988,0.25,1.45168786753,3.34587247878
1989,-0.775,2.21707491093,4.02563270936
1990,-1.1875,2.61335762148,2.12831929378
1991,-0.31,0.458942230633,-0.176326850099
1992,2.6125,-2.69247468773,0.773060785622
1993,2.7225,-2.58089854322,1.6635838686
1994,1.0125,-3.07201763918,2.23901341996
1995,-0.5525,-0.488877644101,1.65000489973
1996,-0.7475,0.956420454917,1.2
1997,-0.2925,1.23120563914,1.1
1998,-1.6575,2.95693574479,1.8
1999,-2.78,5.02233125228,3.5
2000,-1.5925,3.37744217675,3.4
2001,-3.78,2.07730597209,2.0
2002,0.415,0.660979184467,2.5
2003,0.54,1.65665907581,2.5
2004,-0.4725,2.19979401285,2.2
2005,-1.7775,6.87660980567,2.7
2006,-0.6125,2.31605447574,3.0
2007,-0.9425,3.01693964685,3.3
2008,2.3275,-0.624624134425,0.6
2009,4.2775,-5.0694100304,-3.0
2010,2.0025,-1.21980287734,0.2
2011,0.95,-1.32347455286,0.2
2012,3.005,-3.95474687863,-3.0
2013,1.9975,-4.0761302163,-1.8
2014,,0.387749101103,1.4
2015,,1.8090231079,
