tiempo,du,dl,dy
1977,0.515,-0.707001096708,
1978,2.2925,-1.37476034241,
1979,1.8675,-1.17198675028,
1980,4.24,-3.30807034602,
1981,3.1625,-2.68279862496,-1.09145488879
1982,3.76,-3.2453931531,-1.02203099649
1983,1.92,-2.81699765988,1.85254853341
1984,0.6625,-0.769893490225,2.11194228359
1985,0.5775,-1.10656690282,1.04219186092
1986,-1.1575,3.77660267372,3.29027819569
1987,-0.905,6.71694836097,5.63380138396
1988,-1.7,3.04658050126,6.15350140272
1989,-4.395,5.74244437007,5.46720392897
1990,-1.6225,3.35038039366,5.72891762243
1991,-0.3375,2.59859943197,3.04825682258
1992,1.3375,-1.2637301625,1.37223230843
1993,5.6275,-4.9053168679,-1.04609677502
1994,2.01,-1.02276909829,2.72191046023
1995,-1.4275,2.83022191132,3.20000817358
1996,-0.9475,3.64384577544,2.5
1997,-1.8575,3.74950406963,2.7
1998,-2.7325,4.6619843566,3.2
1999,-3.6525,4.96969332694,4.8
2000,-1.8275,5.05696542562,4.2
2001,-0.325,1.95051058693,3.5
2002,1.2175,5.03834105139,2.3
2003,-0.345,5.33722234827,2.7
2004,-0.12,3.65439573916,2.9
2005,-2.1975,6.31997652521,3.2
2006,-0.355,3.43380451035,3.8
2007,-0.055,2.56923134333,3.5
2008,2.45,0.156015290148,0.4
2009,7.2525,-8.11541300318,-3.7
2010,1.5025,-1.24321647223,0.3
2011,1.4975,-1.29687359563,-1.6
2012,3.4025,-5.45922603209,-1.9
2013,0.7175,-2.01623085126,-1.1
2014,,2.065190344,1.3
2015,,1.631151528,
