tiempo,du,dl,dy
1977,0.31,-1.97291390209,
1978,0.685,-3.13824213041,
1979,0.8625,-1.68791178012,
1980,1.61,-3.2335737623,
1981,1.1075,-2.39753851571,1.22678019639
1982,1.4,0.18451048992,1.91050449149
1983,2.37,0.593151380041,0.467647046294
1984,1.715,-1.14703710828,0.862779019809
1985,1.38,-1.2665230543,0.895388896946
1986,0.47,-2.59750981535,-2.89154593385
1987,-0.7125,-0.402668092243,3.88368312458
1988,-0.31,1.75790439261,5.32148211785
1989,-0.115,0.299321478883,4.81113503296
1990,-0.0325,-0.973424381927,-0.319860138944
1991,0.175,-1.49928289416,2.69110202634
1992,3.7825,-4.11034082268,1.30336766519
1993,2.095,-2.44966270083,-0.596121892652
1994,1.5925,-2.56338899724,2.21861052013
1995,-1.8775,1.73401039556,1.91193886483
1996,0.6825,-1.45262407776,1.1
1997,-0.185,-0.379652364874,2.2
1998,-1.0075,2.33036578283,2.1
1999,-1.1375,2.79175020183,3.5
2000,-1.4425,4.74783366827,2.7
2001,-3.9275,2.6470524673,2.9
2002,1.1175,-2.45254986061,2.2
2003,0.4725,3.3594332642,2.5
2004,0.845,1.36640646793,3.3
2005,-3.5225,4.31640693656,3.3
2006,-1.4675,2.83157623855,4.2
2007,-0.8375,2.44552135166,4.2
2008,1.08,0.673285088982,2.1
2009,3.8725,-3.80475836207,-3.7
2010,2.8025,-4.3994491524,0.3
2011,2.01,-1.36751565068,-1.7
2012,3.2575,-3.86965850977,-2.2
2013,1.41,-3.89018578495,-0.9
2014,,-0.831420302949,0.5
2015,,1.16699977895,
