tiempo,du,dl,dy
1977,1.17,-0.770587012384,
1978,3.0475,-3.4230042018,
1979,2.0875,-2.5341536913,
1980,2.1575,-0.392390838419,
1981,1.8175,-1.06956246961,0.694282208422
1982,0.1475,1.9823394063,3.10151860706
1983,2.2025,-1.12330810765,3.53036223687
1984,2.685,-1.56047427752,1.08614674472
1985,1.7025,-2.39952540985,2.40484767714
1986,-1.7375,5.41416976195,9.087839835
1987,-2.92,5.64649388978,5.54079012387
1988,-0.2925,1.159259077,4.36851753949
1989,-3.14,5.32790457502,4.71994584681
1990,-0.7675,4.20508561678,2.83748250444
1991,-0.4075,1.23860955326,3.24536351865
1992,1.135,0.110034504823,-0.0729098520237
1993,4.8075,-4.23879919201,-1.13492063362
1994,2.8025,-0.802324609302,2.1535550703
1995,-0.105,2.8025921594,2.96000684612
1996,-0.2625,2.69762982027,2.4
1997,-2.1275,3.17179679272,3.6
1998,-1.2275,3.81199513666,5.9
1999,-3.9325,8.00893988796,5.3
2000,-1.475,5.95741243622,5.6
2001,-4.205,5.39449648932,3.5
2002,-0.12,12.7534416278,2.1
2003,0.1075,3.56598001622,2.8
2004,-0.755,4.81408635909,3.1
2005,0.3425,5.60662065236,4.1
2006,-0.44,3.59531855355,4.6
2007,-0.0725,3.40982071177,3.9
2008,2.38,0.161005470228,1.7
2009,5.36,-4.56369179449,-2.3
2010,2.04,-1.60261717959,0.1
2011,0.6525,-1.6819094616,0.6
2012,2.2575,-2.47196528931,-0.4
2013,1.25,-3.58276744368,-1.6
2014,,-0.0702598759203,1.0
2015,,5.08260398741,
