tiempo,du,dl,dy
1977,-0.065,1.65810622033,
1978,0.9475,1.2186525674,
1979,1.92,-2.77062054246,
1980,1.865,-5.48783320978,
1981,2.7275,-2.82144598321,1.07491592723
1982,2.735,0.660692932757,-0.529804687135
1983,1.3375,-3.09971552333,2.05501166002
1984,0.2375,2.5838970146,0.907437194132
1985,3.65,-0.843213102561,1.1152910975
1986,-0.8675,1.12050096102,3.76435498977
1987,8.881784197e-16,7.24024133091,5.24413622993
1988,-2.155,7.74176683836,3.07633424569
1989,-1.0575,2.96489905491,5.95185022617
1990,-0.48,3.27335197643,6.90457467418
1991,2.205,-3.01867235596,-2.76849168704
1992,2.81,-1.61826053459,0.857983670734
1993,4.225,-2.67588007203,-0.250717330139
1994,0.3275,1.06096507204,2.50706203732
1995,-1.965,4.52256524894,1.7500027749
1996,0.11,-0.18095956947,2.6
1997,-4.1275,9.68959144862,4.9
1998,-2.275,4.88892664839,4.9
1999,-3.4625,5.77018747275,4.1
2000,-1.0975,6.77554497321,5.7
2001,-2.1975,2.57477388668,3.5
2002,0.81,12.5789230391,3.3
2003,-0.7475,5.88469100065,3.4
2004,-0.0225,5.05988211328,2.8
2005,-2.5275,5.57354999199,4.0
2006,-0.1625,4.63712367216,4.1
2007,-0.295,5.15298951941,4.3
2008,5.0575,-1.8407265621,2.1
2009,8.125,-8.60708214389,-4.8
2010,2.6025,-1.67654303355,0.1
2011,2.06,-3.2047231271,-0.4
2012,2.485,-3.06752996909,-2.1
2013,1.485,-2.34044082415,-1.3
2014,,2.96375810458,2.0
2015,,-1.55510649927,
