tiempo,du,dl,dy
1977,-0.5,1.43016404657,
1978,2.16,-1.17857698087,
1979,2.985,-1.52742236646,
1980,3.45,-2.97987424784,
1981,1.16,-2.10637760376,3.2544637677
1982,0.35,-0.0722579968388,-1.21209731477
1983,2.1375,-0.910119945188,2.11785930964
1984,0.7125,-2.62560408719,-0.313083856443
1985,2.5075,1.13738799342,1.80461180751
1986,-0.64,1.80819926963,1.7138884663
1987,-1.6775,4.36883861463,9.77153924652
1988,-2.0125,3.00856469584,2.57623762718
1989,-1.8125,3.06098837189,8.61239272551
1990,-0.9375,1.52041055147,2.69120080748
1991,-1.01,2.62483370412,-0.607379914705
1992,0.825,-0.294112134373,-1.69601038658
1993,2.66,-3.67973871181,-1.42193695709
1994,0.4875,0.862703625893,2.57843778662
1995,-1.4775,4.72651139321,2.76996222085
1996,-1.425,5.10567428468,2.6
1997,-1.51,4.40971793425,3.8
1998,-0.04,2.22077281028,4.1
1999,-2.02,3.81020324668,4.1
2000,-2.5,6.11395500866,6.2
2001,-1.0575,1.24956063572,2.3
2002,1.0125,5.18961077691,2.6
2003,-0.0925,2.17585108935,2.6
2004,-0.52,2.92837949715,2.9
2005,0.6525,5.57015767041,2.9
2006,-0.3325,3.22623284198,3.9
2007,-0.5475,3.18418381277,3.5
2008,1.9575,-0.0200202607688,2.1
2009,4.17,-4.13346443844,-3.9
2010,0.9575,-1.0425607669,0.4
2011,1.09,-0.395373950949,0.6
2012,3.275,-4.12081806619,-2.7
2013,1.8875,-3.50245737506,-1.0
2014,,1.68551963839,1.9
2015,,0.608069667119,
