tiempo,du,dl,dy
1977,0.72,-0.775176893417,
1978,3.145,-2.43995296638,
1979,2.265,-1.9843501036,
1980,3.02,-2.80929370972,
1981,3.3375,-3.24053959539,1.39492555079
1982,2.45,-2.45994249655,2.28664362601
1983,1.45,-0.765421659249,-0.456084937292
1984,1.9875,-1.54584220591,-3.10146894477
1985,1.415,-2.41985359348,1.26962672531
1986,0.1625,0.0276724987826,1.89763549861
1987,-1.055,3.32969607061,1.90521028942
1988,-0.91,3.88552453328,3.36210697429
1989,-1.94,3.11517903346,5.94981557537
1990,-0.635,2.57799964442,1.51637579081
1991,-0.3675,1.96907283811,1.68237351159
1992,1.29,-1.18421455524,-1.78507960432
1993,3.8425,-3.14389115315,-1.61666776868
1994,0.9875,-0.615117322762,0.827733748864
1995,-1.8575,1.72402134911,3.2800023948
1996,-1.845,1.86403214648,0.9
1997,-1.6975,3.94860620391,3.5
1998,-2.0275,3.01770142904,4.8
1999,-3.08,5.54551664721,4.9
2000,-1.74,3.89354551557,4.1
2001,-2.4025,3.5839572353,2.8
2002,-0.315,2.91014076364,1.5
2003,-0.2375,2.47999167366,2.0
2004,0.21,1.31625766302,2.4
2005,-2.0625,3.95139719869,3.2
2006,-0.365,2.55654502528,3.7
2007,-0.855,0.772835043417,3.1
2008,0.3275,0.9132560307,1.5
2009,4.5925,-5.75786762453,-4.1
2010,-0.4925,1.08071628812,0.8
2011,1.46,-0.598135275937,-0.5
2012,2.875,-5.59142552221,-1.6
2013,0.955,-3.23119145583,-1.8
2014,,-0.937459889202,1.2
2015,,0.741938814192,
