tiempo,du,dl,dy
1977,0.335,0.719794534743,
1978,1.11,-2.02740728527,
1979,1.5275,-3.81722036854,
1980,1.0575,0.295730631199,
1981,2.255,-2.15346477532,4.01267634799
1982,3.5425,-2.38878880017,4.00718428114
1983,0.265,-1.53269333433,3.52656261053
1984,2.5625,-7.32102591132,2.36742043618
1985,3.655,-1.87394785106,6.95724898305
1986,-1.5375,2.20829094079,-5.65889509293
1987,-2.5725,5.4662105968,2.48883216337
1988,0.0,5.27693362254,5.14078303921
1989,-3.46,2.70379703083,3.91659805578
1990,-1.5775,-1.33580581278,17.5428293429
1991,1.365,0.58969636299,2.50345155845
1992,3.8375,-2.96813901688,2.04890964205
1993,0.9575,-2.82937598984,-0.544619515297
1994,2.48,-2.06248393617,1.70447118199
1995,-0.8775,4.75914633926,2.48200594586
1996,-1.94,4.46363962799,2.4
1997,-2.555,3.66687398843,3.1
1998,-0.235,1.79946049343,3.1
1999,-3.205,5.47549559405,3.2
2000,-0.0925,4.43303369785,5.9
2001,-3.66,3.82104729223,1.9
2002,2.5325,6.65512137967,2.0
2003,-0.8125,4.82534779105,3.3
2004,-0.605,5.35332885822,3.0
2005,0.67,10.4226237199,3.4
2006,-0.0175,0.988175216556,4.1
2007,-0.5175,2.0601866929,4.0
2008,2.1275,1.03247709914,2.0
2009,4.9725,-4.90365357701,-4.6
2010,1.5175,-2.85722070082,0.5
2011,2.7325,-2.4330241169,-1.3
2012,3.4525,-5.72698106766,-2.8
2013,-0.5625,-1.48222041813,-1.3
2014,,2.99208795831,2.4
2015,,1.06140658772,
