tiempo,du,dl,dy
1977,0.395,0.0862713868578,
1978,2.1,-2.51220711966,
1979,1.6925,-1.23396326248,
1980,2.14,-2.6945630391,
1981,3.1725,-3.30466147048,-2.34622806881
1982,0.4225,0.614558812208,5.1061477034
1983,1.47,-0.124813130948,3.59742272378
1984,1.5075,-3.42009207547,4.52316566808
1985,2.065,-2.64586027357,1.43061998525
1986,-1.2575,4.73291246494,2.41631845497
1987,-1.99,4.06683635244,4.07220656397
1988,-0.0725,1.87820410394,6.90885793197
1989,-1.78,2.18892298747,6.19456628075
1990,-2.62,4.85220085804,3.35934062331
1991,0.5175,-0.816644642321,1.48456118346
1992,2.2525,-1.18483010492,0.902672611782
1993,4.6475,-3.50304925546,-1.54695591212
1994,1.35,-1.28424546232,1.23146887078
1995,-2.245,1.63926977919,3.66001949042
1996,-0.775,0.286351446613,2.5
1997,-1.17,2.52209824056,3.3
1998,-2.71,3.62829486878,1.9
1999,-2.395,2.46557045135,2.7
2000,-1.8575,4.03794709215,5.0
2001,-2.3475,0.460594587321,2.6
2002,0.725,6.51266073166,3.4
2003,0.8,4.06330086377,2.9
2004,-0.9675,4.6191292554,2.6
2005,0.4725,5.79472235597,3.2
2006,-0.285,1.56430671026,4.2
2007,-0.3075,6.05735837662,4.6
2008,1.9,0.415412620373,1.5
2009,5.6825,-6.63567735795,-3.7
2010,1.9475,-3.63940641353,0.7
2011,2.3225,-2.19530343251,-1.0
2012,1.4875,-0.724142692748,-3.7
2013,2.7525,-5.68875826995,-0.7
2014,,0.792991323968,1.6
2015,,4.5666111484,
