tiempo,du,dl,dy
1977,0.77,-2.94570557621,
1978,1.34,-0.829721295508,
1979,2.2325,-2.26732652668,
1980,1.0675,-1.88613920056,
1981,3.345,-3.17365162509,1.12162110689
1982,1.955,-4.2029401164,1.74299762444
1983,0.1875,-0.704154984193,1.42732677959
1984,1.765,-2.89049347698,1.03711923221
1985,2.7375,-0.771697674114,5.76265389877
1986,0.1775,-1.50202304971,4.91044895078
1987,1.6875,1.6613590799,2.05448899877
1988,-0.81,0.908554392606,4.21268346012
1989,-1.4475,0.204957430379,3.72135028675
1990,-0.52,2.37659817137,-0.497044982965
1991,-1.9625,-0.122801748891,2.02362177475
1992,1.3,-2.35517496349,3.41919770968
1993,3.7025,-3.98841861872,-2.87395476155
1994,1.4275,-2.50818094221,1.40607255848
1995,-1.5975,-0.698969757132,1.73062760822
1996,0.6825,-0.380865800965,0.3
1997,0.1675,-2.14087675591,1.5
1998,-2.1175,1.99061899629,3.5
1999,-0.98,4.41102763391,0.7
2000,-0.99,3.56748162926,4.9
2001,-9.275,3.62367000997,3.2
2002,1.9325,2.72625038364,2.0
2003,1.43,3.0960943171,2.2
2004,-0.84,1.58265156601,1.9
2005,-0.12,4.39274168481,3.0
2006,-0.93,4.59597702105,3.9
2007,-0.835,2.18722973979,3.0
2008,-0.0275,4.49056573743,1.1
2009,4.975,-6.55877100871,-5.3
2010,2.5475,-3.30684505673,0.4
2011,1.88,-2.52908658415,-0.7
2012,3.9,-4.63999408982,-3.4
2013,2.2825,-3.46918997957,-2.4
2014,,1.8679907659,0.8
2015,,-0.746358337006,
