tiempo,du,dl,dy
1977,0.195,3.61993957914,
1978,1.2675,2.11399326795,
1979,0.74,0.693855870547,
1980,1.6975,-1.40264945756,
1981,3.905,-3.58579579899,0.942173896733
1982,1.99,-1.66827924631,0.443867613483
1983,0.8925,1.85686489278,4.00106254803
1984,3.2425,-1.15201395469,-3.29899183029
1985,3.325,-2.08463562613,-0.0991435543955
1986,0.0425,2.07341774951,9.05046892056
1987,-1.925,7.01995435917,7.19186059097
1988,-1.7825,7.05069458917,6.21617342471
1989,-0.765,3.48775783017,4.50830643616
1990,1.73,-1.83271213105,-0.0641845254166
1991,1.635,1.6729525544,1.03627735329
1992,0.21,-2.32719800508,3.71650839777
1993,3.4175,-3.79085600783,1.10661054744
1994,-1.77,7.15692057253,3.05861702098
1995,-2.92,4.44553324142,2.60012123985
1996,-1.485,4.47486143148,1.7
1997,-2.32,8.59177255469,3.0
1998,-1.225,4.08598350307,4.6
1999,-4.1625,8.01903754616,6.2
2000,-0.9675,7.20624249334,3.6
2001,-2.7,5.70803009686,3.9
2002,0.4325,2.73655219361,2.1
2003,0.2925,5.38900602301,3.1
2004,0.445,2.75007020828,1.7
2005,-0.13,4.15924767867,2.9
2006,-0.0525,5.44595237195,2.9
2007,-1.235,3.64632767705,3.1
2008,6.9025,-5.7487423837,0.1
2009,8.8425,-7.68425411753,-4.5
2010,2.51,-2.33632089572,1.0
2011,0.9925,1.57975597317,-0.4
2012,3.3125,-3.26698664308,-1.4
2013,1.0625,-1.85867469707,-0.5
2014,,1.24915173748,2.1
2015,,4.95749560096,
