tiempo,du,dl,dy
1977,0.445,-1.55692228091,
1978,0.9575,1.96327009431,
1979,1.02,-0.564157317334,
1980,1.9725,-2.20231203039,
1981,2.8425,-1.91123316089,1.35896973625
1982,2.105,-5.98126870282,1.93540943572
1983,0.19,-0.905136020076,2.78975118372
1984,3.3775,-1.12609756567,1.36493247599
1985,-0.3425,1.54410737699,0.460543735813
1986,2.07,-3.64365640326,-4.47168757209
1987,1.0725,0.573491411852,4.94488909431
1988,1.85,0.332052961162,11.0302164158
1989,-2.9825,5.4889654337,6.93064297424
1990,-0.885,2.29810827171,0.0372855371862
1991,-0.825,-1.26623560888,-0.670889524588
1992,0.7025,1.54631416491,1.74759907506
1993,3.185,-2.368650992,-1.78591151688
1994,3.525,-4.68286521614,2.55107778462
1995,-0.9175,2.07968137109,1.76701826123
1996,1.5725,-1.38985545967,0.7
1997,-3.13,6.95350124977,2.4
1998,-2.96,4.921607595,4.0
1999,-2.36,-0.292730455757,4.1
2000,-1.9925,7.3272094052,4.9
2001,-4.7775,8.06274601108,3.6
2002,1.265,2.59485664042,2.5
2003,0.4925,4.52093937161,1.3
2004,-0.0175,2.45305276248,1.8
2005,-2.0075,6.29298900015,2.9
2006,-1.9575,4.45815922957,2.9
2007,-0.66,3.87742827404,3.0
2008,1.2575,1.06923918404,0.7
2009,4.8275,-4.930051771,-4.0
2010,1.8825,-3.21042342719,-0.5
2011,1.42,-1.22326718848,-1.7
2012,2.4325,-2.44915598947,-1.7
2013,2.86,-5.01776957279,-2.2
2014,,1.44301706786,1.0
2015,,1.51814214451,
