tiempo,du,dl,dy
1977,0.845,-0.105019096904,
1978,1.1,-0.175848648463,
1979,1.8825,0.615269212439,
1980,3.0675,-3.63476274873,
1981,3.6225,-4.53826795684,2.76492847839
1982,3.4325,-2.04972476763,0.13925220751
1983,0.5025,0.322834135454,1.99918690683
1984,2.2225,-1.34254352814,2.07834833948
1985,1.305,-1.50885204886,2.50803440367
1986,-1.26,2.49693994996,1.38567411507
1987,-0.5975,5.61639966132,6.63306292677
1988,-1.8,4.73945327833,4.49681037227
1989,-1.675,3.71196197159,4.0413387131
1990,-1.2075,2.86122866508,4.22608029272
1991,1.3725,-0.407475194582,3.35580895138
1992,3.4725,-2.37515758644,-0.505538833959
1993,4.4725,-4.65142107746,-2.19401137061
1994,1.02,0.120315019814,1.82009695103
1995,-2.11,4.88283182329,3.45000803932
1996,-0.8075,3.01618314736,1.6
1997,-1.7,3.888087782,4.3
1998,-3.425,5.88017270323,4.8
1999,-2.8225,5.26029975636,4.3
2000,-2.2125,7.09403457435,5.3
2001,-2.24,4.84838577461,4.1
2002,1.0275,4.08664156689,2.6
2003,0.51,4.30460830947,2.4
2004,-0.8225,5.18953645367,2.8
2005,-1.175,5.25115302609,3.3
2006,-0.445,4.50061116842,4.1
2007,0.3875,3.0268311742,3.4
2008,3.3525,-0.556157227031,1.0
2009,9.125,-9.6101035373,-6.0
2010,2.0625,-3.7775898059,-0.6
2011,1.19,-1.95009304447,-1.3
2012,3.1675,-4.57884158777,-2.9
2013,0.9575,-1.78579614621,-0.7
2014,,1.67164902591,1.9
2015,,4.09079052413,
