tiempo,du,dl,dy
1977,0.95,-1.03723465675,
1978,1.7575,-1.558199355,
1979,1.6925,-1.37657020304,
1980,2.78,-2.72081341989,
1981,2.615,-2.57568857086,-0.176386364962
1982,1.815,-0.921577711323,1.5660312106
1983,1.4825,-0.519628329784,2.21951521181
1984,2.7525,-2.64996404771,1.46726262756
1985,1.3725,-1.02981604987,2.61215356105
1986,-0.4775,1.85921673033,3.2000022221
1987,-0.7525,4.80917664402,5.64139169444
1988,-0.985,3.88815385795,5.16146489723
1989,-1.9975,3.56075802933,4.73790231347
1990,-1.0025,2.51372974863,3.74058839434
1991,0.075,0.792311428295,2.2678539763
1992,2.04,-1.79829998939,0.687333777325
1993,4.2875,-4.11732673807,-1.19851828301
1994,1.4775,-0.69765719269,2.12044772674
1995,-1.2175,2.49283363905,2.77915783948
1996,-0.7175,2.57784317486,2.0
1997,-1.4275,3.30799321602,3.2
1998,-2.045,4.13108904172,3.9
1999,-2.9625,5.50404748781,4.3
2000,-1.815,5.502679875,4.8
2001,-3.44,3.75743516808,3.2
2002,0.8625,5.29509041933,2.4
2003,-0.05,4.07958744981,2.8
2004,-0.4975,3.81411069334,2.8
2005,-1.6475,5.86854493217,3.4
2006,-0.6475,3.81801243304,3.9
2007,-0.25,3.2172996227,3.7
2008,3.065,-0.521879815404,1.2
2009,6.6825,-6.65199615254,-3.7
2010,2.055,-1.99572693671,0.0
2011,1.5725,-1.61899317984,-0.6
2012,3.39,-4.2813889401,-2.1
2013,1.33,-2.78966698744,-1.2
2014,,1.19405797756,1.3
2015,,2.96683424343,
