tiempo,du,dl,dy
1977,3.66,-5.85732539729,
1978,1.7825,-2.07883956132,
1979,3.22,-5.29808372575,
1980,1.5025,-1.12938771554,
1981,1.52,-1.10600902984,-3.07144265902
1982,0.875,-0.194780229774,0.634760810967
1983,-1.035,3.29211169201,2.96284870378
1984,10.175,-12.8352710873,15.4127400269
1985,0.4775,1.22125216121,5.42566310054
1986,0.4225,-1.33329617261,-0.941236368961
1987,-0.99,7.24913914081,9.32896175598
1988,-0.2175,4.39347660408,6.75232216217
1989,0.4175,-0.785288267627,3.1039658748
1990,-1.795,4.25696637072,2.13282413553
1991,-0.8325,2.68666579808,4.00013120113
1992,1.885,-2.02025794865,1.34722788021
1993,4.07,-3.90960884254,-1.11031583643
1994,1.6825,-4.89290389005,1.4383885852
1995,-0.84,-0.466661476263,1.57853441378
1996,-0.565,1.80242124423,1.9
1997,-0.95,2.98410947723,2.7
1998,-0.24,1.97705044463,2.9
1999,-3.8175,8.00953014225,4.7
2000,-1.4625,5.7074156112,4.7
2001,-9.27,2.83587907433,2.3
2002,4.655,-2.38594532859,2.8
2003,-1.78,3.8912050983,2.7
2004,-0.2625,1.94326355056,2.6
2005,-1.3325,4.47864346337,3.2
2006,-2.345,3.65013995353,3.5
2007,-0.3775,3.93031528447,4.1
2008,2.1475,-1.10327806624,1.9
2009,5.345,-5.16486977885,-2.6
2010,2.5,-1.17211482082,0.9
2011,2.05,-2.81104388869,-0.9
2012,7.94,-9.10709545668,-3.4
2013,0.6575,0.110837154731,-1.0
2014,,4.16087112879,2.1
2015,,1.74788488275,
