"2.- Resúmenes comparativos por CCAA";;;;;;;;;;;;;;;;;;;;
"    Encuesta de Población Activa. Principales Resultados";;;;;;;;;;;;;;;;;;;;
"Ocupados por comunidad autónoma y sector económico (4).";;;;;;;;;;;;;;;;;;;;
"Unidades:miles de personas";;;;;;;;;;;;;;;;;;;;
;Total;Andalucía;Aragón;"Asturias (Principado de)";"Balears (Illes)";Canarias;Cantabria;"Castilla y León";"Castilla - La Mancha";Cataluña;"Comunidad Valenciana";Extremadura;Galicia;"Madrid (Comunidad de)";"Murcia (Región de)";"Navarra (Comunidad Foral de)";"País Vasco";"Rioja (La)";"Ceuta y Melilla";
"   1976TIII";12777.3;1763.0;436.2;432.6;232.3;391.2;180.3;942.3;546.3;2144.0;1240.5;355.6;1229.2;1554.4;303.6;174.5;754.1;97.2;0.0;
"   1976TIV";12668.8;1740.6;427.5;420.2;227.1;396.3;178.8;909.9;542.5;2117.6;1241.9;349.4;1229.1;1548.5;305.2;177.6;759.5;97.3;0.0;
"   1977TI";12615.6;1780.8;424.7;414.9;224.0;405.7;181.6;882.6;532.5;2106.5;1240.7;328.8;1219.9;1558.5;294.1;174.9;750.2;95.1;0.0;
"   1977TII";12580.3;1723.5;425.2;409.2;229.6;402.8;177.9;885.1;534.8;2115.5;1241.0;329.3;1211.1;1563.6;301.6;176.5;757.1;96.5;0.0;
"   1977TIII";12590.1;1711.7;429.3;417.1;234.2;405.9;176.4;901.8;543.0;2115.0;1233.0;328.7;1206.7;1545.2;307.6;179.0;757.6;97.9;0.0;
"   1977TIV";12591.6;1736.3;435.0;410.5;227.4;410.1;177.1;890.1;538.5;2116.3;1246.8;334.9;1203.1;1533.8;311.3;178.1;744.2;98.0;0.0;
"   1978TI";12471.1;1745.6;420.5;407.2;225.2;417.3;181.6;875.7;526.4;2096.5;1248.4;321.9;1183.8;1514.9;300.7;173.8;737.1;94.6;0.0;
"   1978TII";12401.6;1709.5;419.1;410.0;226.0;414.6;180.4;876.0;527.1;2083.8;1233.9;322.9;1172.2;1513.5;302.3;177.2;738.6;94.6;0.0;
"   1978TIII";12394.5;1718.1;416.5;411.3;232.7;409.6;181.2;886.0;532.1;2086.2;1217.4;322.8;1166.1;1498.3;313.1;175.5;732.3;95.3;0.0;
"   1978TIV";12325.5;1687.1;414.8;409.4;227.2;417.3;183.7;872.2;524.9;2070.5;1253.2;326.6;1166.8;1462.4;313.2;173.6;727.6;95.1;0.0;
"   1979TI";12287.3;1744.0;410.4;404.9;225.6;423.7;180.3;860.7;508.9;2068.9;1255.9;308.0;1152.3;1460.5;301.5;169.8;721.2;90.6;0.0;
"   1979TII";12212.7;1699.1;412.0;399.9;231.8;413.6;183.3;866.6;503.2;2059.1;1243.6;305.5;1156.4;1448.2;304.0;173.3;720.9;92.3;0.0;
"   1979TIII";12247.5;1692.5;412.5;396.6;236.5;414.3;182.4;874.0;500.0;2081.4;1239.9;313.3;1160.5;1461.9;297.8;174.6;720.0;89.3;0.0;
"   1979TIV";12162.4;1697.8;415.3;399.3;233.0;418.7;176.7;863.3;509.5;2030.0;1243.5;298.7;1140.4;1465.3;291.2;171.7;715.2;92.9;0.0;
"   1980TI";12013.3;1658.2;402.9;398.1;227.6;419.7;175.9;857.7;493.5;2016.0;1228.8;300.5;1121.8;1464.0;280.8;166.9;709.0;91.9;0.0;
"   1980TII";11892.7;1630.2;401.9;392.0;222.6;410.7;174.9;858.3;485.0;2000.6;1201.6;298.8;1118.8;1455.5;284.2;168.2;697.6;91.9;0.0;
"   1980TIII";11883.1;1637.1;399.0;392.0;231.5;404.6;177.8;860.7;481.8;1985.7;1183.4;310.5;1116.5;1463.4;282.6;167.4;698.1;91.0;0.0;
"   1980TIV";11790.5;1637.3;401.9;388.4;219.6;411.9;178.0;845.4;490.0;1964.3;1188.2;301.7;1103.4;1429.9;281.1;166.3;691.8;91.3;0.0;
"   1981TI";11655.8;1630.7;391.6;386.3;213.5;407.7;177.8;833.9;466.6;1966.1;1161.1;298.3;1086.4;1432.3;272.0;162.7;680.5;88.3;0.0;
"   1981TII";11579.2;1590.0;385.0;381.1;216.3;401.0;173.5;841.8;463.8;1949.5;1149.8;298.5;1085.9;1438.7;272.1;163.4;679.5;89.5;0.0;
"   1981TIII";11597.0;1611.2;391.6;380.4;221.2;389.4;172.6;843.4;474.5;1930.0;1131.8;304.7;1095.3;1446.3;272.6;164.5;677.5;89.9;0.0;
"   1981TIV";11521.3;1607.8;384.4;372.9;214.3;389.8;169.1;834.6;481.8;1907.4;1141.0;296.5;1085.8;1432.9;280.1;164.1;668.3;90.5;0.0;
"   1982TI";11469.3;1596.0;384.3;366.2;205.9;388.7;164.8;815.0;470.9;1898.2;1142.0;292.2;1084.6;1472.2;277.1;163.8;659.6;87.9;0.0;
"   1982TII";11477.4;1622.3;388.2;363.6;217.1;391.7;162.0;819.0;477.1;1885.4;1125.0;296.6;1083.0;1459.5;275.1;165.6;658.5;88.0;0.0;
"   1982TIII";11500.8;1613.5;390.5;363.4;222.7;383.8;162.0;829.1;486.4;1872.1;1110.9;303.2;1105.4;1469.3;278.5;161.7;661.3;86.8;0.0;
"   1982TIV";11477.8;1631.7;398.9;363.4;214.0;396.6;162.6;825.0;490.3;1845.6;1111.9;303.6;1088.5;1463.1;273.1;163.1;659.7;86.9;0.0;
"   1983TI";11362.9;1628.8;385.7;358.0;211.5;407.3;162.8;813.2;486.4;1811.3;1119.7;304.1;1073.6;1443.9;260.6;158.3;655.5;82.4;0.0;
"   1983TII";11415.8;1606.2;393.6;360.5;220.4;396.7;160.3;811.5;477.3;1837.4;1128.8;305.0;1088.4;1463.0;263.1;164.0;652.4;87.3;0.0;
"   1983TIII";11494.1;1625.7;390.8;365.8;229.8;387.3;160.0;824.8;489.5;1835.6;1127.4;316.0;1116.0;1451.3;267.5;163.4;655.6;87.7;0.0;
"   1983TIV";11414.0;1599.2;389.6;362.0;221.1;398.4;162.4;814.5;491.9;1805.1;1127.7;309.8;1109.5;1439.9;278.2;162.5;655.4;86.8;0.0;
"   1984TI";11172.2;1517.0;381.1;354.3;216.3;405.9;156.1;798.2;471.6;1801.9;1124.9;267.6;1093.7;1427.8;275.5;156.3;644.1;79.8;0.0;
"   1984TII";11119.3;1488.3;373.9;350.2;224.4;393.3;156.4;791.0;465.6;1811.0;1118.6;265.1;1086.3;1440.8;269.5;157.9;646.0;81.0;0.0;
"   1984TIII";11143.5;1493.8;375.3;353.3;230.2;384.7;161.3;799.0;474.3;1822.7;1102.8;272.3;1088.0;1422.3;277.0;157.8;649.4;79.5;0.0;
"   1984TIV";11040.3;1477.5;375.9;346.6;220.6;387.5;164.4;784.2;482.8;1797.5;1096.7;271.3;1067.8;1416.7;274.4;159.1;638.9;78.5;0.0;
"   1985TI";10981.2;1562.6;359.6;347.2;215.5;389.0;162.7;767.2;467.3;1775.5;1088.6;264.9;1052.6;1390.9;269.9;156.7;634.5;76.6;0.0;
"   1985TII";10949.1;1487.0;361.0;347.3;220.6;379.2;161.8;768.2;474.6;1782.8;1098.7;270.0;1069.7;1388.7;267.9;159.4;633.2;79.1;0.0;
"   1985TIII";11029.4;1516.2;370.6;352.4;225.9;372.9;162.7;776.7;483.1;1789.2;1082.9;278.9;1085.4;1405.7;271.5;160.2;616.0;79.1;0.0;
"   1985TIV";11056.3;1509.3;375.0;346.6;214.3;397.1;160.5;768.7;490.9;1805.3;1105.2;275.7;1072.7;1385.1;277.8;162.0;632.1;78.0;0.0;
"   1986TI";11049.1;1549.1;372.4;342.1;209.6;390.1;158.1;756.5;482.1;1811.5;1113.0;257.6;1051.0;1423.3;271.5;159.4;623.9;78.1;0.0;
"   1986TII";11151.0;1542.7;383.0;344.4;216.8;386.8;155.3;777.4;486.7;1841.2;1121.0;264.6;1042.3;1445.3;278.9;163.6;621.8;79.3;0.0;
"   1986TIII";11275.9;1550.3;386.8;342.6;228.8;392.2;155.8;783.4;495.0;1875.3;1111.1;278.2;1038.1;1491.1;271.4;165.3;629.0;81.6;0.0;
"   1986TIV";11359.2;1555.5;393.4;343.4;216.6;400.4;154.9;783.9;490.9;1895.4;1139.6;274.8;1037.1;1512.2;277.3;161.5;641.4;80.7;0.0;
"   1987TI";11382.9;1604.2;386.9;341.2;212.5;403.1;154.7;769.3;475.9;1909.4;1147.1;276.8;1023.5;1530.8;273.1;162.8;630.5;81.2;0.0;
"   1987TII";11690.3;1640.0;403.9;346.4;231.0;413.6;154.8;803.3;499.8;1957.7;1176.3;291.1;1035.4;1552.3;287.5;171.5;641.8;84.1;0.0;
"   1987TIII";11911.9;1647.0;405.0;355.3;238.6;423.1;158.7;829.5;516.9;2023.5;1200.2;288.1;1040.6;1560.2;304.7;174.9;660.0;85.5;0.0;
