Producto interior bruto regional y provincial
    Contabilidad Regional de Espa?. Base 1995. Serie 1995-2004.

Producto interior bruto a precios de mercado (precios constantes) por  comunidades aut?omas y a?.
Unidades:miles de euros


,ANDALUCIA,ARAGON,ASTURIAS (Ppdo. de),BALEARS (Illes),CANARIAS,CANTABRIA,CASTILLA Y LEON,CASTILLA-LA MANCHA,CATALU?,COMUNIDAD VALENCIANA,EXTREMADURA,GALICIA,MADRID (Com. de),MURCIA  (Regi? de),NAVARRA (C. Foral de),PAIS VASCO,RIOJA (La),CEUTA Y MELILLA,CEUTA,MELILLA,EXTRA-REGIO,ESPA?,
1995,"5.8703745E7","1.4302189E7","1.0583097E7","1.0062087E7","1.6626276E7","5465372.0","2.6714076E7","1.5435841E7","8.2752572E7","4.1374468E7","7530804.0","2.4565897E7","7.3522117E7","1.0029536E7","7454734.0","2.7646756E7","3343425.0","1225973.0","..","..","448035.0","4.37787E8",
1996,"6.0351336E7","1.471936E7","1.0750878E7","1.0375061E7","1.706139E7","5552735.0","2.7193934E7","1.6060342E7","8.4907595E7","4.2203874E7","7794687.0","2.5097176E7","7.5216914E7","1.035444E7","7668480.0","2.7999186E7","3446311.0","1254824.0","..","..","448477.0","4.48457E8",
1997,"6.3479459E7","1.5256038E7","1.1010654E7","1.098975E7","1.7747617E7","5750818.0","2.7663851E7","1.6616792E7","8.7379101E7","4.4486744E7","8124286.0","2.5914976E7","7.8481292E7","1.098334E7","8003754.0","2.9272615E7","3576109.0","1325992.0","..","..","449812.0","4.66513E8",
1998,"6.5912323E7","1.5557159E7","1.1463906E7","1.1290509E7","1.8726696E7","6042038.0","2.8376054E7","1.7352854E7","9.0176348E7","4.6904356E7","8449704.0","2.6712012E7","8.3394875E7","1.1587324E7","8340774.0","3.0950897E7","3685406.0","1406432.0","..","..","455333.0","4.86785E8",
1999,"6.8653512E7","1.5919242E7","1.1516281E7","1.1833344E7","1.9934933E7","6311934.0","2.9441934E7","1.7763836E7","9.4059278E7","4.8951729E7","8908712.0","2.7881013E7","8.7140728E7","1.2070569E7","8650264.0","3.2555824E7","3801040.0","1477985.0","..","..","473842.0","5.07346E8",
2000,"7.272217E7","1.6650777E7","1.1966898E7","1.2155199E7","2.048133E7","6623637.0","3.0539269E7","1.8528519E7","9.7339855E7","5.1514198E7","9399751.0","2.8706557E7","9.1156736E7","1.2746656E7","9133974.0","3.3958711E7","4013355.0","1541554.0","..","..","511854.0","5.29691E8",
2001(Provisional),"7.4943775E7","1.6908555E7","1.2172052E7","1.2358863E7","2.1176722E7","6861500.0","3.1108213E7","1.9021128E7","9.9832808E7","5.3044047E7","9562137.0","2.927429E7","9.4676701E7","1.3113326E7","9356870.0","3.4907636E7","4065839.0","1578942.0","827208.0","751734.0","532596.0","5.44496E8",
2002(Provisional),"7.7138176E7","1.739936E7","1.2369389E7","1.2481456E7","2.172251E7","7025396.0","3.176275E7","1.9609834E7","1.01584694E8","5.43304E7","9885101.0","2.9941125E7","9.6416151E7","1.3545074E7","9621980.0","3.5486461E7","4135824.0","1624197.0","852161.0","772036.0","571122.0","5.56651E8",
2003(Avance),"7.9443742E7","1.7832074E7","1.2590521E7","1.2608787E7","2.2356817E7","7152485.0","3.2527395E7","1.9974718E7","1.03968177E8","5.5424967E7","1.0140621E7","3.063165E7","9.9140977E7","1.3972026E7","9906637.0","3.6375484E7","4269123.0","1668514.0","878224.0","790290.0","571285.0","5.70556E8",
2004(Primera Estimacion),"8.1795188E7","1.8300861E7","1.2847623E7","1.2824383E7","2.2990221E7","7362267.0","3.3392813E7","2.0402192E7","1.06527599E8","5.6732298E7","1.0425487E7","3.1552196E7","1.01970964E8","1.4377323E7","1.0241099E7","3.7458182E7","4393252.0","1705943.0","898713.0","807230.0","577109.0","5.85877E8",

Fuente:Instituto Nacional de Estad?tica

Copyright INE 2015


Paseo de la Castellana; 183 - 28071 - Madrid - Espa? Tel?ono: (+34) 91 583 91 00 - Contacta:www.ine.es/infoine
