Encuesta de PoblaciÌ_n Activa (EPA);;;;;;;;;;;;;;;;;;
Parados;;;;;;;;;;;;;;;;;;
Tasas de paro por distintos grupos de edad, sexo y comunidad autÌ_noma;;;;;;;;;;;;;;;;;;
;Total Nacional;AndalucÌ_a;AragÌ_n;Asturias, Principado de;Balears, Illes;Canarias;Cantabria;Castilla y LeÌ_n;Castilla - La Mancha;CataluÌ±a;Comunitat Valenciana;Extremadura;Galicia;Madrid, Comunidad de;Murcia, RegiÌ_n de;Navarra, Comunidad Foral de;PaÌ_s Vasco;Rioja, La
;;;;;;;;;;;;;;;;;;
2005T1;10,19;14,24;6,14;11,28;10,61;12,82;9,75;10,11;9,58;7,93;10,13;17,41;10,90;8,28;9,04;6,30;7,93;7,29
2005T2;9,33;13,78;6,28;10,82;6,03;12,38;9,09;8,64;9,35;7,12;9,24;15,15;11,11;6,87;8,05;5,12;7,57;6,45
2005T3;8,42;13,54;5,26;9,32;5,01;11,05;7,15;7,64;8,35;6,14;7,88;15,24;8,65;6,17;7,55;5,20;7,45;4,49
2005T4;8,70;13,83;5,65;9,56;7,48;10,67;8,10;8,54;9,39;6,64;8,01;15,31;9,13;5,92;7,42;5,95;6,40;6,53
2006T1;9,07;13,34;6,29;10,23;8,47;11,95;7,19;9,15;9,49;7,01;8,90;15,75;9,99;5,92;7,70;6,32;7,61;5,80
2006T2;8,53;12,67;5,73;8,09;6,64;11,40;6,69;8,36;8,95;6,47;7,81;13,69;8,60;6,98;7,91;5,55;7,10;6,09
2006T3;8,15;12,52;5,16;9,76;4,76;11,88;6,38;7,50;8,77;6,25;8,29;11,35;7,28;6,09;7,89;4,79;6,50;5,76
2006T4;8,30;12,22;5,01;9,18;6,17;11,48;6,00;7,47;8,04;6,68;8,48;12,94;8,05;6,49;7,91;4,58;6,68;7,04
2007T1;8,47;12,51;5,71;9,54;9,15;10,23;7,08;7,41;7,68;6,71;8,55;13,05;8,81;6,56;7,15;5,14;6,65;6,75
2007T2;7,95;11,96;5,30;9,07;5,50;9,78;6,34;7,28;7,84;6,09;8,72;12,15;7,57;6,25;6,57;5,26;6,04;4,94
2007T3;8,03;12,57;4,86;7,19;4,45;10,74;5,57;7,03;6,98;6,76;8,73;12,37;6,72;6,00;8,24;4,38;6,05;5,30
2007T4;8,60;13,99;5,09;8,12;9,01;11,02;4,63;6,99;7,95;6,63;9,03;14,65;7,47;6,38;8,27;4,27;5,73;5,63
2008T1;9,63;14,83;5,98;8,49;10,74;14,70;6,38;8,16;9,57;7,60;9,61;14,39;8,35;7,39;9,51;6,05;5,62;6,25
2008T2;10,44;16,27;6,78;7,84;8,39;16,00;7,03;9,29;10,48;7,62;11,59;13,86;8,33;8,78;11,33;5,62;5,57;6,81
2008T3;11,33;18,33;6,23;7,53;9,38;17,50;6,34;9,35;11,34;8,95;12,39;14,60;8,47;8,39;14,09;7,09;6,27;8,32
2008T4;13,91;21,78;9,57;9,95;12,32;21,18;8,90;11,22;14,90;11,82;14,85;17,96;9,74;10,15;15,53;8,12;8,32;9,75
2009T1;17,36;24,04;12,98;12,01;19,76;26,12;12,42;13,83;18,15;16,16;19,20;21,75;12,22;13,49;19,36;10,41;10,33;11,49
2009T2;17,92;25,41;13,00;14,04;18,15;25,73;11,71;14,14;19,52;15,88;21,22;20,09;12,93;13,61;20,16;12,23;10,52;12,74
2009T3;17,93;25,64;12,02;13,42;14,82;25,99;11,20;13,01;18,34;15,95;21,96;19,09;12,35;14,37;20,97;10,39;11,55;13,12
2009T4;18,83;26,33;13,29;14,24;19,54;26,91;12,63;14,15;19,23;17,01;22,56;21,26;12,88;14,68;22,47;10,53;11,75;13,67
2010T1;20,05;27,21;15,20;16,56;22,41;27,68;14,49;15,86;21,58;17,91;23,04;23,45;15,46;16,17;23,17;12,32;10,91;15,23
2010T2;20,09;27,78;14,20;16,38;19,94;29,48;13,89;16,32;21,35;17,71;23,83;22,43;15,58;16,42;21,27;10,96;10,40;12,19
2010T3;19,79;28,55;13,62;14,29;17,12;28,67;12,18;15,18;19,70;17,41;23,41;22,41;14,86;15,97;23,95;12,47;9,98;13,99
2010T4;20,33;28,35;16,06;16,67;22,23;28,96;14,93;15,78;21,33;17,98;22,91;23,90;15,69;15,75;24,98;11,64;10,89;15,68
2011T1;21,29;29,68;17,95;18,20;25,36;28,52;16,37;17,37;21,79;19,01;24,12;25,06;17,33;15,43;26,16;13,40;11,61;15,44
2011T2;20,89;29,71;17,42;17,15;19,48;29,76;14,77;16,33;23,01;18,06;23,65;23,14;16,75;15,97;24,49;12,85;11,63;16,49
2011T3;21,52;30,93;16,16;17,17;17,81;29,55;14,10;16,08;22,44;19,43;24,73;23,60;17,25;17,01;24,19;11,68;12,17;17,39
2011T4;22,85;31,23;16,84;18,90;25,20;30,93;15,93;17,16;24,45;20,50;25,45;28,59;18,30;18,51;26,77;13,82;12,61;18,70
2012T1;24,44;33,17;18,38;20,39;28,01;32,28;18,59;19,30;27,19;22,16;27,32;32,05;20,18;18,65;26,96;16,34;13,55;20,06
2012T2;24,63;33,92;18,64;21,03;21,27;33,14;17,38;19,76;28,72;21,95;27,10;33,38;21,07;18,86;26,19;16,41;14,56;22,71
2012T3;25,02;35,42;18,75;21,84;19,47;33,63;15,71;19,14;27,97;22,56;28,10;32,66;20,13;18,56;28,81;14,95;15,48;20,33
