Encuesta de PoblaciÌ_n Activa (EPA);;;;;;;;;;;;;;;;;;
Parados;;;;;;;;;;;;;;;;;;
Parados por grupo de edad, sexo y comunidad autÌ_noma. Valores absolutos;;;;;;;;;;;;;;;;;;
Total;Total Nacional;AndalucÌ_a;AragÌ_n;Asturias, Principado de;Balears, Illes;Canarias;Cantabria;Castilla y LeÌ_n;Castilla - La Mancha;CataluÌ±a;Comunitat Valenciana;Extremadura;Galicia;Madrid, Comunidad de;Murcia, RegiÌ_n de;Navarra, Comunidad Foral de;PaÌ_s Vasco;Rioja, La
2005T1;2099;480.9;36.6;50.6;51;120.5;24.9;111.6;77.8;276.1;226.3;79.5;136.1;251.2;54.7;18.1;81.5;10.6
2005T2;1944.7;470.8;38;48.5;31.2;115.8;23.6;96.3;78.2;251.3;206.8;69.1;139.2;211.9;49.8;14.7;78.2;9.7
2005T3;1765;465.4;32.1;42.1;26.4;104.6;18.9;86.7;71.2;217.3;176.8;70.9;109.6;189.1;47;15.1;76.6;6.8
2005T4;1841.3;485.3;34.1;43.7;37;103.1;21.5;96.3;80.9;239;183.3;69.6;114.3;182.7;46.9;17.8;67.1;10
2006T1;1935.8;473.1;37.7;47.4;42.3;117.5;19;102.8;81.7;253.7;206.1;72.3;126.8;185.8;49.1;18.7;79.8;8.9
2006T2;1837;449.6;35;37.9;36;113.5;17.7;94.8;77.8;236.2;182.6;62.7;108.5;221.7;51.6;16.5;75.1;9.3
2006T3;1765;446.1;31.7;45.9;26.5;119.6;17.2;86.3;77.4;229.4;194.8;51.8;93.5;192.7;50.9;14.6;69.1;8.8
2006T4;1810.6;438.6;31;42.7;32.3;115;16.2;85.6;71.4;247.1;203.2;60.4;102.5;210.5;52;13.8;71.1;10.9
2007T1;1856.1;456.3;35.9;44.8;47.8;104.2;19.3;84.5;68.8;248.9;204.7;61.4;112.6;212.5;48.1;15.7;69.9;10.4
2007T2;1760;439.5;34.3;42.8;30.6;100.2;17.3;83.7;71;227.7;211.6;57.1;98;202.4;45;16.1;63.9;7.6
2007T3;1791.9;464.2;31.7;34.3;25;109.6;15.4;82.3;64.5;255.7;213.4;59;87.5;196.2;56.8;13.3;63.7;8.1
2007T4;1927.6;524.1;33.1;38.7;49;112.8;12.8;81.3;73.6;251.8;223.2;70.5;96.5;209.4;57.3;13;60.7;8.9
2008T1;2174.2;561.6;39;41.2;58.3;151.7;17.9;95.6;89.6;290.8;241;68.5;108.4;243.8;67.3;18.7;59.2;9.8
2008T2;2381.5;618;44.7;38.7;48.1;166.1;19.7;109;100.1;292.9;293.2;67;109.1;294.5;81.5;17.4;59.3;10.8
2008T3;2598.8;704.6;41.1;37.7;55.3;183;17.9;111.2;108.5;343.7;312.8;71.2;112.4;282.7;101.6;22.1;67.3;13.3
2008T4;3207.9;850.3;63.6;48.9;69.5;223.6;25.1;133.1;143.9;455.8;381.7;86.8;129;345.3;112.6;25.1;88.6;15.6
2009T1;4010.7;944.1;85.9;58.5;110.8;280.6;35.2;162.8;176.8;622.7;491.2;106.3;162.7;459.9;141.4;32.4;108.6;18.4
2009T2;4137.5;998.7;85.6;68.4;107.8;273.1;33;167.8;191.3;601.9;548.7;98;170.4;463.3;147.8;38.3;110;20.5
2009T3;4123.3;994.4;79.4;65.1;90;281.4;31.6;153.5;180;607.2;564.2;92.9;162.2;483.7;151.4;32;120.7;20.9
2009T4;4326.5;1034;86.9;68.6;112.4;293.8;35;166.5;188.1;643.1;576;102.8;168.4;498.5;161.5;32.2;123.1;21.7
2010T1;4612.7;1080.9;99.6;80.1;127.4;301.2;40.2;185.9;212.2;676.2;583.1;114;200.6;552.4;170.1;37.8;113.7;23.8
2010T2;4645.5;1104.1;91.6;78.6;120.7;317.3;38.9;194;209.6;676.1;601.7;112.3;201.8;563.7;156.3;34.1;109.8;19.1
2010T3;4574.7;1129.5;87.2;68.9;104.5;310.2;33.4;181.4;192.6;669.4;588.9;111.3;195.3;545.6;177.3;38.5;104.3;22.3
2010T4;4696.6;1127.4;103.3;79.6;128.6;314.4;41;186.8;211.2;686.8;575.9;118.8;203.5;542;186.7;35.7;114.9;24.4
2011T1;4910.2;1187.6;115.5;86.9;144.1;312.4;44.8;204.5;216.1;727.6;599.9;125;226.5;522.1;192.1;41.7;123.5;24.1
2011T2;4833.7;1178.9;113.6;83.1;115.5;331.8;40.9;193.3;230.8;690.9;591.3;114.8;219.6;544.9;179.8;39.8;122.4;25.6
2011T3;4978.3;1232.9;105.1;82.2;109.6;328.7;39.7;192;224.5;742;617.3;115.1;226.5;573.1;178.4;36.2;129.1;27.7
2011T4;5273.6;1248.5;109.4;90.5;146.5;341.9;44.5;201.5;245.6;775.4;641.3;141.3;240.4;623.3;199.1;42.5;133.5;29.2
2012T1;5639.5;1329.6;119.3;96.7;163.9;362.3;52.5;225.9;272.5;836.9;681.4;158.5;265.6;632.6;200.4;50.3;140.2;31
2012T2;5693.1;1362.9;122.3;101.8;130.1;370.7;48.1;234;286.2;821.6;675.5;164.3;275.9;643.3;195;51;151.1;35.4
2012T3;5778.1;1424.2;123.5;105.9;122.6;378.2;43.5;227.1;276.6;840.4;702.1;167;264;628.2;215.6;46.2;157.7;30.9
2012T4;5965.4;1442.6;121.9;114.1;144.1;368.4;53.5;240.8;296.5;885.1;700.2;173.6;277.4;665.3;216.6;52.6;162.8;28
2013T1;6202.7;1473.7;144.1;122.7;169;385.6;56.9;262.6;311.1;902.3;727.5;181.6;287.4;682;221.2;58;164.7;27.9
2013T2;5977.5;1440.4;139.9;115.1;130.7;371.3;60.5;244.9;299.9;873;723.9;171.6;288.2;642.6;212.9;55.4;154.9;30.6
2013T3;5904.7;1447.3;131.4;115.9;105.6;393.4;52;241.8;292.3;840.5;701.3;170.3;277.1;653.6;215.5;55.5;156;30
2013T4;5896.3;1446.6;130.3;104.5;134.6;371.7;55.1;250.8;286.1;820.4;696;160.1;277.8;690.9;207.9;50.1;158.4;30.7
