Encuesta de Población Activa
Parados
Parados por sector económico y comunidad autónoma
Nacional;Andalucía;Aragón;Asturias, Principado de;Balears, Illes;Canarias;Cantabria;Castilla y León;Castilla - La Mancha;Cataluña;Comunitat Valenciana;Extremadura;Galicia;Madrid, Comunidad de;Murcia, Región de;Navarra, Comunidad Foral de;País Vasco;Rioja, La;Ceuta;Melilla;Total;
2008T1;
2.190,5;561,7;40,7;42,0;60,0;147,2;18,2;97,3;92,1;293,4;240,4;69,1;108,3;249,5;66,5;19,5;61,9;10,6;5,3;6,9;2008T2;
2.385,7;616,1;46,9;39,1;48,5;161,1;20,2;110,7;103,9;293,8;287,5;68,5;108,1;296,9;81,0;18,3;62,3;11,1;6,4;5,4;2008T3;
2.600,7;701,7;43,3;38,6;55,3;176,6;18,1;113,5;111,3;346,1;309,3;72,2;110,3;286,0;98,4;23,2;70,5;13,4;5,9;7,0;2008T4;
3.206,8;845,6;66,0;49,7;68,6;215,4;25,1;136,1;147,9;465,0;370,5;88,1;127,7;347,7;109,7;25,7;92,0;16,0;5,5;4,5;2009T1;
4.018,2;939,6;89,8;59,7;110,8;270,2;36,2;167,2;179,9;640,7;473,2;107,9;161,0;465,3;137,2;33,6;114,1;18,3;5,6;7,8;2009T2;
4.139,6;994,4;88,4;68,7;108,1;264,8;33,4;171,6;195,4;622,6;527,6;99,3;166,7;466,6;144,5;38,5;115,5;20,5;5,4;7,8;2009T3;
4.121,4;992,7;81,7;66,7;90,6;269,4;31,7;155,9;182,5;624,3;541,1;94,1;161,1;489,0;146,7;32,6;126,9;20,8;6,8;6,9;2009T4;
4.335,0;1.034,1;90,9;69,0;113,4;285,1;35,8;168,5;192,3;659,8;558,3;103,4;167,6;502,0;155,1;33,0;130,4;22,3;8,1;5,9;2010T1;
4.617,7;1.077,4;102,2;81,6;128,0;294,4;40,3;187,2;217,6;699,9;561,7;113,8;200,2;553,6;164,4;38,8;118,5;23,7;8,2;6,2;2010T2;
4.655,3;1.100,2;96,0;80,1;121,7;308,8;39,2;197,2;213,9;693,3;586,7;113,0;201,3;566,6;151,0;35,4;115,1;19,4;9,2;7,1;2010T3;
4.585,4;1.125,1;90,4;69,4;104,9;303,0;33,8;183,7;200,3;688,3;573,8;111,7;195,1;548,9;171,3;39,9;108,2;22,7;7,6;7,4;2010T4;
4.702,2;1.117,4;107,2;80,9;127,4;306,4;41,2;188,6;219,1;705,2;562,8;120,1;203,0;545,3;180,1;37,4;118,7;24,9;8,8;7,8;2011T1;
4.921,2;1.177,6;118,7;88,2;143,4;304,4;45,4;207,8;223,5;750,3;585,1;126,5;225,3;524,4;184,9;43,6;129,9;25,4;9,3;7,4;2011T2;
4.844,2;1.173,5;116,8;84,7;116,7;321,5;42,0;197,9;237,6;712,9;574,2;116,5;218,9;544,1;173,2;41,3;128,5;26,8;9,8;7,2;2011T3;
4.998,0;1.227,9;106,0;83,9;110,5;317,7;40,6;196,4;229,8;772,5;604,4;116,3;224,9;569,8;175,2;37,7;136,6;29,2;10,9;7,6;2011T4;
5.287,3;1.247,0;111,7;91,9;149,8;329,5;45,4;205,1;251,8;804,1;622,0;141,3;239,8;619,0;191,9;43,9;144,0;30,1;10,7;8,2;2012T1;
5.667,9;1.326,5;122,2;98,9;165,3;350,6;54,2;230,1;280,8;866,6;665,6;160,4;265,9;629,1;194,3;51,5;152,6;32,1;13,4;7,8;2012T2;
5.731,0;1.358,7;126,0;104,2;132,5;360,0;49,2;237,7;295,1;852,4;661,8;166,7;275,9;641,4;190,3;52,3;164,7;36,9;14,7;10,3;2012T3;
5.824,2;1.426,7;127,1;107,9;124,9;367,4;44,7;231,5;283,8;878,4;683,7;168,8;263,4;629,4;208,0;47,8;172,7;32,6;15,1;10,4;2012T4;
6.021,0;1.446,8;126,1;116,6;146,5;358,8;54,7;244,1;305,5;925,6;682,7;175,3;276,9;664,5;212,2;54,6;177,4;29,4;14,0;9,3;2013T1;
6.278,2;1.481,7;148,7;126,2;171,6;374,4;58,3;266,8;317,8;949,0;709,8;184,1;287,9;689,7;215,4;60,1;181,3;29,6;15,5;10,2;2013T2;
6.047,3;1.447,2;144,4;118,2;133,1;362,4;61,8;249,9;308,6;909,1;704,9;175,4;290,3;651,0;207,8;57,9;169,9;32,2;13,2;10,0;2013T3;
5.943,4;1.450,8;133,8;117,8;106,4;383,5;52,7;245,4;300,4;875,3;678,9;172,5;279,1;651,8;210,4;56,7;169,7;31,1;11,8;14,9;2013T4;
5.935,6;1.462,5;133,7;107,9;133,7;365,3;55,9;256,7;292,4;839,5;668,3;164,1;280,9;685,5;206,6;51,0;173,3;31,9;14,1;12,3;2014T1;
5.933,3;1.403,4;148,4;109,3;152,5;356,0;58,4;257,4;306,6;840,2;683,1;160,7;296,9;677,0;200,5;53,8;178,9;30,5;11,6;8,3;2014T2;
5.622,9;1.400,3;136,3;99,7;118,0;356,9;53,8;246,6;288,2;770,4;640,8;147,7;284,3;631,8;181,6;49,5;167,5;27,8;11,7;9,9;2014T3;
5.427,7;1.419,1;119,7;95,8;101,0;362,3;54,1;226,0;285,4;726,1;614,1;140,3;258,3;583,6;188,9;46,2;155,0;29,1;12,4;10,2;2014T4;
5.457,7;1.395,7;120,7;98,4;111,4;342,2;51,2;234,3;283,1;756,5;569,4;151,8;263,8;612,3;196,9;46,4;174,1;26,4;12,8;10,1;2015T1;
5.444,6;1.359,1;119,7;87,2;130,7;343,5;51,5;233,7;284,5;758,0;588,8;151,7;275,7;602,8;186,9;47,9;171,2;27,1;11,7;12,7;2015T2;
5.149,0;1.260,5;110,8;93,0;103,5;336,5;50,1;213,1;266,6;726,2;558,4;149,1;252,5;602,5;175,9;38,4;164,4;25,6;8,9;13,0;
