Tiempo;Nacional;Andaluc‰Ûªa;Arag‰ÛÓn;Asturias, Principado de;Balears, Illes;Canarias;Cantabria;Castilla y Le‰ÛÓn;Castilla - La Mancha;Catalu‰ÛÒa;Comunitat Valenciana;Extremadura;Galicia;Madrid, Comunidad de;Murcia, Regi‰ÛÓn de;Navarra, Comunidad Foral de;Pa‰Ûªs Vasco;Rioja, La
    2002T1;16482.3;2527.2;493.6;368.9;377.1;715.6;208.2;906.8;646;2826.1;1773.2;343.3;1017.3;2501.1;481.6;247.4;889.9;115.2
    2002T2;16766.9;2585.5;497.8;370.8;407.9;715.7;211.9;921.2;660.4;2903.8;1777.5;348.6;1028.1;2542;489.1;249.8;894.4;117.1
    2002T3;16919.3;2525.4;507;377.4;432.7;723.9;212.3;938.3;679.4;2954.3;1791.4;352.1;1047.7;2560.3;501.2;251;900.7;117.8
    2002T4;16991.9;2555.1;511.3;379.1;403.4;737.3;215;932.9;679.6;2933.9;1833.3;349.2;1053.5;2582.8;502.9;251.4;905.6;119.5
    2003T1;17092.7;2604.3;511.8;371.2;388.4;750;214.3;930.5;674.1;2981.1;1840.6;348.5;1059.2;2592.5;505.1;249.7;903.8;121
    2003T2;17423.2;2659.5;522.2;380.6;429.4;756.9;221.1;937.8;690.3;3029.2;1853.3;364.7;1072.2;2633.9;526.6;254.5;920.8;123.6
    2003T3;17646;2665.9;529.2;392.1;451.7;764.2;223.8;951;704;3107.4;1872.7;372.1;1081.3;2645.4;524.5;259.2;930;125.8
    2003T4;17740.5;2705.3;528.1;398.9;419.8;777.3;226.6;940.9;705.4;3120.6;1917.9;362.3;1072.7;2677.6;534.8;258;925.1;121.8
    2004T1;17770.2;2743.4;536.5;391.3;405.1;772.2;223.1;931.2;706.6;3105.2;1926.2;359.7;1068;2723.6;530.1;258.7;920.1;123.3
    2004T2;18018.9;2752.6;543.7;390.8;446.4;773.5;226.7;949.4;712.8;3166;1953.3;364.7;1074.6;2756.5;545.7;258.2;929.6;128.3
    2004T3;18289.1;2788.7;555.7;395.7;469.8;784.6;231;984.4;734.7;3206.6;1965.5;379;1091.8;2766.2;558.8;265.5;933.5;131
    2004T4;18490.8;2875.3;552;388.2;442.5;802;226.5;978.3;739.6;3206.3;2028.3;372.1;1109.6;2810.9;562.2;268.9;944.8;135.9
    2005T1;18736.1;2933.7;568.5;400.4;424.9;800;232.8;994.1;743.2;3291.1;2029.3;376.7;1116.6;2848.1;560.3;272.6;958.3;137.6
    2005T2;19160.6;2987.8;578.9;403.4;481;802.2;238;1023.1;770.2;3363.6;2054.6;386.2;1116.3;2943;580.3;275.2;965.3;144.4
    2005T3;19422.1;3014.5;587.9;413.3;497.7;820.6;247.6;1053.7;791.1;3401.2;2087;393.4;1161;2934.2;585.6;278;960.1;145.5
    2005T4;19509.2;3060.6;579.3;417.6;454.6;840;246.1;1036.5;790.5;3430.2;2115.2;385.1;1137.3;2951.9;592.9;284;991.7;144.7
    2006T1;19578.4;3101.6;570.6;420.2;452.5;844.3;247.6;1022.9;789.3;3434.5;2123;387.1;1142.4;2995;598.3;280.3;978.3;143.8
    2006T2;19891.6;3132.3;585.8;433.2;505;862.8;249.2;1043.8;802.3;3487.9;2169;396.3;1152.6;2998.4;609.6;282.6;990.8;143.7
    2006T3;20091;3144.1;594.5;429.8;529.2;867.7;254.3;1070.6;817.6;3509.5;2164.5;406.5;1192.7;3017;603.8;291.5;1003.2;145.3
