Tiempo,Andalucía,Aragón,Asturias (Principado de),Baleares (Islas),Canarias,Cantabria,Castilla y León,Castilla - La Mancha,Cataluña,Comunidad Valenciana,Extremadura,Galicia,Madrid (Comunidad de),Murcia (Región de),Navarra (Comunidad Foral de),País Vasco,Rioja (La),Ceuta y Melilla,Extra-Regio,España
1980,3784223.0,961245.0,787610.0,578875.0,1039617.0,410458.0,1849424.0,1063158.0,5549840.0,2870671.0,491821.0,1820375.0,4104959.0,740430.0,491233.0,2162481.0,222146.0,77011.0,21610.0,29027187.0
1981,3729087.0,938692.0,796444.0,599950.0,1049412.0,416036.0,1748059.0,1023175.0,5489266.0,2950043.0,476715.0,1842707.0,4133459.0,748389.0,507220.0,2192646.0,231060.0,78091.0,25536.0,28975987.0
1982,3850255.0,986623.0,810326.0,619112.0,1054070.0,424088.0,1815174.0,1031279.0,5433164.0,2954151.0,479741.0,1877912.0,4261659.0,744424.0,501072.0,2242784.0,240319.0,79222.0,24385.0,29429760.0
1983,3930078.0,1022116.0,821892.0,652049.0,1096244.0,435919.0,1889301.0,1036891.0,5533816.0,3013210.0,493955.0,1886694.0,4412111.0,759722.0,511684.0,2232555.0,248794.0,79723.0,26204.0,30082958.0
1984,3966500.0,1068348.0,830416.0,688902.0,1060079.0,441869.0,1933630.0,1071272.0,5650687.0,3075835.0,570087.0,1902972.0,4460033.0,766616.0,510082.0,2163313.0,254684.0,82207.0,26822.0,30524354.0
1985,4141103.0,1083632.0,878270.0,722763.0,1059028.0,443904.0,2037245.0,1129270.0,5709578.0,3152978.0,601018.0,1920011.0,4567290.0,775166.0,519287.0,2190779.0,272403.0,85130.0,32842.0,31321697.0
1986,4293274.0,1109816.0,921397.0,755048.0,1154875.0,424054.0,2054696.0,1132285.0,5897439.0,3196668.0,595361.0,1864493.0,4982358.0,804346.0,528187.0,2232352.0,256988.0,85825.0,34530.0,32323992.0
1987,4577347.0,1155010.0,940327.0,807935.0,1237932.0,445023.0,2168941.0,1235625.0,6229689.0,3408705.0,650902.0,1936904.0,5258420.0,846527.0,579799.0,2274883.0,263384.0,94321.0,35841.0,34147515.0
1988,4834225.0,1234808.0,979940.0,841890.0,1314884.0,494110.0,2241511.0,1340302.0,6613033.0,3561988.0,694853.0,2039976.0,5488135.0,872569.0,594736.0,2351367.0,276924.0,99261.0,35515.0,35910027.0
1989,4982612.0,1311299.0,1016407.0,860100.0,1374163.0,528355.0,2331746.0,1432459.0,6974581.0,3705940.0,716421.0,2138122.0,5747172.0,924503.0,645957.0,2491269.0,287770.0,103944.0,38589.0,37611409.0
1990,5281653.0,1355350.0,1011355.0,930085.0,1373281.0,528552.0,2381373.0,1476093.0,7374149.0,3862556.0,731701.0,2131283.0,5910247.0,988336.0,663341.0,2529046.0,338253.0,113870.0,37773.0,39018297.0
1991,5417889.0,1375471.0,1031821.0,959782.0,1387512.0,525006.0,2377174.0,1502214.0,7598932.0,3992176.0,760970.0,2188638.0,6102056.0,960974.0,659312.0,2571594.0,346721.0,112059.0,32874.0,39903175.0
1992,5450195.0,1387887.0,1067101.0,981932.0,1439079.0,534181.0,2395551.0,1517207.0,7703207.0,3971994.0,771222.0,2217164.0,6097607.0,969219.0,648130.0,2525689.0,353825.0,112548.0,33705.0,40177443.0
1993,5340995.0,1366417.0,1036433.0,984645.0,1455004.0,524641.0,2435403.0,1451217.0,7622624.0,3884848.0,762659.0,2203947.0,6028404.0,966789.0,638914.0,2484857.0,351898.0,119625.0,36589.0,39695909.0
1994(Provisional),5457069.0,1383244.0,1051006.0,1010019.0,1499507.0,538025.0,2489932.0,1472291.0,7830105.0,3955556.0,773629.0,2252844.0,6158229.0,991027.0,655388.0,2505425.0,357896.0,120047.0,36401.0,40537640.0
1995(Provisional),5609321.0,1433871.0,1069195.0,1045370.0,1538496.0,547532.0,2531016.0,1499087.0,8080669.0,4092023.0,785841.0,2295917.0,6340513.0,1008370.0,673542.0,2587603.0,366779.0,123060.0,36040.0,41664245.0
