;Andaluc’a;Arag—n;Asturias, Principado de;Balears, Illes;Canarias;Cantabria;Castilla y Le—n;Castilla - La Mancha;Catalu–a;Comunitat Valenciana;Extremadura;Galicia;Madrid, Comunidad de;Murcia, Regi—n de;Navarra, Comunidad Foral de;Pa’s Vasco;Rioja, La;Ceuta;Melilla;TOTAL NACIONAL
2000 (P);80.2;78;84.6;88.5;83.7;85.8;84;72.8;81.1;82.9;78.6;78.7;76.4;77.2;80.7;83.1;80.4;85.7;87.9;80.3
2001 (P);83.4;80.6;87.8;90.5;87.6;89.4;86;75.8;84.6;87;80.9;81.6;79.9;80.7;83;85.9;82.3;86.1;88.1;83.5
2002 (P);86.4;84;89.8;90.9;89.7;91.9;88.5;79.3;86.9;89.6;83.7;83.8;82;84;85.6;87.4;84.3;87.1;88.3;85.9
2003 (P);90.1;86.9;92;91.9;92.8;93.2;91;82.7;89.6;92;86.4;86.3;84.8;87.4;88.2;89.4;87.6;89.9;90.9;88.7
2004 (P);93.2;89.5;93.9;93.5;94.5;95;93.2;86;92.5;94.8;89;89.6;87.9;90.2;91.1;91.8;90.6;91.3;92.7;91.5
2005 (P);96.5;92.7;96.9;96.7;97.4;97.9;95.9;89.9;95.7;98.1;92.2;92.9;92;94.2;94;95;94;93.1;95.5;94.9
2006 (P);100.5;96.9;100.8;99.7;100.3;100.8;98.9;94.7;99.5;102.2;95.7;97.1;96.6;98.3;97.9;98.7;98.1;95.2;97.7;98.8
2007 (P);104.3;101.5;103.8;103.2;103.4;103.8;102.2;100.2;103;105.6;99.8;101.3;100.5;102.6;101.4;101.8;102.1;98.5;99.5;102.5
2008 (P);105;103;104.9;104.5;103.5;104.5;102.8;103;103.4;106.6;101.7;103.4;102.2;104.7;103.5;103.3;104.1;100.3;100.9;103.7
2009 (P);101.2;99.3;99.6;100.4;99;100.5;99.8;100.3;99.7;100.6;99.1;99.7;99.9;99.9;99.6;99.2;99.5;98.6;99.4;100
2010 (P);100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
2011 (P);99.3;99;99.3;100.3;99.6;98.3;100.2;99.5;98.4;98.7;99.1;98.3;100.6;99.6;100.6;99.5;98.7;100.3;101;99.4
2012 (P);96.5;95.3;95.9;99.8;98.2;96.6;97.2;95.4;96.5;95.8;95.7;96.1;100.2;97.5;97.9;97.9;95.9;99.2;100;97.3
2013 (A);95.4;94.6;93.5;99.3;97.7;94.4;95.4;94.5;95.4;95.1;94.7;95.2;98.6;96.2;96.9;96.1;94.6;98.5;99.1;96.1
2014 (1» E);96.7;96.2;94.3;101.2;99.8;95.4;96.8;95.6;96.7;97;96.8;95.7;99.6;98.2;98.8;97.3;97;99.1;99.9;97.4
